ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
11413,Laurelton/Rosedale,Queens,1392,3189.15,235.98,20.42
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,848,3000.12,222.89,18.68
11415,Kew Gardens,Queens,560,2911.47,265.15,15.66
11416,Ozone Park,Queens,761,2859.35,206.65,19.03
11417,Ozone Park,Queens,933,2983.63,147.1,17.63
11418,Richmond Hill,Queens,1188,3117.69,278.18,18.3
11419,Richmond Hill/South Ozone Park,Queens,1285,2527.1,192.73,19.72
11420,South Ozone Park,Queens,1447,2988.7,221,19.86
11421,Woodhaven,Queens,1270,3008.8,244.02,18.49
11422,Rosedale,Queens,1055,3128.56,198.69,19.59
11423,Hollis/Holliswood,Queens,1138,3551.68,327.7,20.68
11426,Bellerose,Queens,522,2563.44,166.97,17.26
11427,Bellerose/Hollis Hills/Holliswood,Queens,828,3567.06,219.71,18.41
11428,Queens Village,Queens,702,3632.14,279.4,20.79
11429,Queens Village,Queens,1019,3634.57,267.51,20.03
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1936,3063.51,401.93,18.11
11433,Jamaica,Queens,1009,2800,219.23,18.16
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2214,3278.25,291.7,19.48
11435,Briarwood/Jamaica,Queens,1726,2993.21,260.13,18.15
11436,South Jamaica/South Ozone Park,Queens,573,2753.82,221.07,19.05
11691,Edgemere/Far Rockaway,Queens,2577,3979.37,574.44,17.47
11692,Arverne/Edgemere,Queens,672,3339.92,462.22,15.87
11693,Arverne/Broad Channel,Queens,347,2802.62,234.22,16.92
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,767,3767.97,432.31,18.26
11697,Breezy Point,Queens,111,3138.53,113.1,7.9
